Model,Accuracy,AUC,Recall,Prec.,F1,Kappa,MCC,TT (Sec)
Gradient Boosting Classifier,0.6166,0.0,0.6166,0.618,0.61,0.3988,0.4033,1.153
Extreme Gradient Boosting,0.6143,0.7824,0.6143,0.6142,0.6065,0.3941,0.3987,0.631
Random Forest Classifier,0.6097,0.7797,0.6097,0.6216,0.5916,0.3775,0.3893,0.19
Light Gradient Boosting Machine,0.6097,0.0,0.6097,0.6098,0.6034,0.389,0.3927,0.746
Extra Trees Classifier,0.6067,0.7703,0.6067,0.6129,0.5838,0.3709,0.3835,0.137
Ada Boost Classifier,0.5846,0.0,0.5846,0.5823,0.5803,0.354,0.3559,0.157
Logistic Regression,0.5762,0.0,0.5762,0.5714,0.5693,0.3382,0.3407,0.674
Linear Discriminant Analysis,0.5732,0.0,0.5732,0.569,0.566,0.3332,0.3358,0.066
Ridge Classifier,0.5686,0.0,0.5686,0.5634,0.557,0.3212,0.3255,0.063
Naive Bayes,0.5617,0.7343,0.5617,0.5586,0.5553,0.316,0.3187,0.069
K Neighbors Classifier,0.5533,0.7182,0.5533,0.547,0.5452,0.3032,0.3059,0.398
SVM - Linear Kernel,0.5077,0.0,0.5077,0.5104,0.5051,0.241,0.2426,0.077
Decision Tree Classifier,0.4801,0.6023,0.4801,0.4801,0.4793,0.2002,0.2005,0.077
Quadratic Discriminant Analysis,0.4261,0.0,0.4261,0.4666,0.4267,0.1554,0.1623,0.066
Dummy Classifier,0.4131,0.5,0.4131,0.1707,0.2415,0.0,0.0,0.074
